product,months,country,sub country,area,value
Product 1,Jan,Ghazni,Afghanistan,Ghaznī,27957.164953099767
Product 1,Jan,Gereshk,Afghanistan,Helmand,12268.637600696185
Product 1,Jan,Gardēz,Afghanistan,Paktia,41113.70555115687
Product 1,Jan,Fayzabad,Afghanistan,Badakhshan,47439.3246470018
Product 1,Jan,Farah,Afghanistan,Farah,48437.458581464714
Product 1,Jan,Kafir Qala,Afghanistan,Herat,29199.035016689853
Product 1,Jan,Charikar,Afghanistan,Parvān,34007.78350797591
Product 1,Jan,Barakī Barak,Afghanistan,Lowgar,39213.321768820824
Product 1,Jan,Bāmyān,Afghanistan,Bāmīān,11894.897956328787
Product 1,Jan,Balkh,Afghanistan,Balkh,27420.138630882826
Product 1,Jan,Baghlān,Afghanistan,Wilāyat-e Baghlān,41946.82400859437
Product 1,Jan,Ārt Khwājah,Afghanistan,Takhār,29139.872125875765
Product 1,Jan,Āsmār,Afghanistan,Konar,38622.44592412727
Product 1,Jan,Asadābād,Afghanistan,Konar,24832.47725453184
Product 1,Jan,Andkhōy,Afghanistan,Faryab,28949.617986699588
Product 1,Jan,Bāzārak,Afghanistan,Panjshir,45332.69041246063
Product 1,Jan,Markaz-e Woluswalī-ye Āchīn,Afghanistan,Nangarhār,21865.79863322585
Product 1,Jan,Saint John’s,Antigua and Barbuda,Saint John,34775.88141943541
Product 1,Jan,The Valley,Anguilla,N/A,42489.19265616764
Product 1,Jan,Sarandë,Albania,Vlorë,49206.89867236032
Product 1,Jan,Kukës,Albania,Kukës,26198.9868017148
Product 1,Jan,Korçë,Albania,Korçë,24242.149215411424
Product 1,Jan,Gjirokastër,Albania,Gjirokastër,20282.22051685357
Product 1,Jan,Elbasan,Albania,Elbasan,18046.0676267377
Product 1,Jan,Burrel,Albania,Dibër,23972.953100667783
Product 1,Jan,Vlorë,Albania,Vlorë,35474.91794106399
Product 1,Jan,Tirana,Albania,Tiranë,48540.75819067149
Product 1,Jan,Shkodër,Albania,Shkodër,11931.94081875994
Product 1,Jan,Patos Fshat,Albania,Fier,33056.585802394795
Product 1,Jan,Lushnjë,Albania,Fier,32724.09452739737
Product 1,Jan,Lezhë,Albania,Lezhë,46774.191650611094
Product 1,Jan,Laç,Albania,Lezhë,31295.29813678042
Product 1,Jan,Kuçovë,Albania,Berat,18301.74252940476
Product 1,Jan,Krujë,Albania,Durrës,34508.37168258151
Product 1,Jan,Kavajë,Albania,Tiranë,27999.762153961783
Product 1,Jan,Fier-Çifçi,Albania,Fier,45596.766644623895
Product 1,Jan,Fier,Albania,Fier,32631.612413991126
Product 1,Jan,Durrës,Albania,Durrës,15861.690312370785
Product 1,Jan,Berat,Albania,Berat,21634.88972113096
Product 1,Jan,Kapan,Armenia,Syunik Province,10835.75062512529
Product 1,Jan,Goris,Armenia,Syunik Province,33472.81041034307
Product 1,Jan,Hats’avan,Armenia,Syunik Province,37175.44856437885
Product 1,Jan,Artashat,Armenia,Ararat Province,35334.45094168534
Product 1,Jan,Ararat,Armenia,Ararat Province,34722.861323857636
Product 1,Jan,Yerevan,Armenia,Yerevan,32886.19361872626
Product 1,Jan,Ejmiatsin,Armenia,Armavir Province,35220.3544099478
Product 1,Jan,Spitak,Armenia,Lori Province,17382.81306948946
Product 1,Jan,Sevan,Armenia,Gegharkunik Province,20685.67129743699
Product 1,Jan,Masis,Armenia,Ararat Province,29768.25029735429
Product 1,Jan,Vanadzor,Armenia,Lori Province,12906.218276635125
Product 1,Jan,Gavarr,Armenia,Gegharkunik Province,49679.319500009005
Product 1,Jan,Hrazdan,Armenia,Kotayk Province,40029.6886929055
Product 1,Jan,Armavir,Armenia,Armavir Province,28640.033139192154
Product 1,Jan,Gyumri,Armenia,Shirak Province,33932.36574878622
Product 1,Jan,Ashtarak,Armenia,Aragatsotn Province,25741.80489656805
Product 1,Jan,Abovyan,Armenia,Kotayk Province,36764.49965482044
Product 1,Jan,Saurimo,Angola,Lunda Sul,48075.19881244992
Product 1,Jan,Lucapa,Angola,Lunda Norte,44381.63954048791
Product 1,Jan,Luau,Angola,Moxico,47803.317113206715
Product 1,Jan,Uíge,Angola,Uíge,21717.05142810139
Product 1,Jan,Soio,Angola,Zaire,43255.52708719933
Product 1,Jan,Nzeto,Angola,Zaire,18027.085216584703
Product 1,Jan,N’dalatando,Angola,Cuanza Norte,22087.14985555252
Product 1,Jan,Mbanza Congo,Angola,Zaire,39810.98994616783
Product 1,Jan,Malanje,Angola,Malanje,34852.758991547984
Product 1,Jan,Luanda,Angola,Luanda,14390.991930783966
Product 1,Jan,Caxito,Angola,Bengo,43948.23974570598
Product 1,Jan,Cabinda,Angola,Cabinda,40764.455950909294
Product 1,Jan,Sumbe,Angola,Cuanza Sul,40276.16334238433
Product 1,Jan,Namibe,Angola,Namibe,22815.790953515665
Product 1,Jan,Menongue,Angola,Cuando Cubango,11139.976516156774
Product 1,Jan,Luena,Angola,Moxico,49323.480900640185
Product 1,Jan,Lubango,Angola,Huíla,30235.45007760311
Product 1,Jan,Longonjo,Angola,Huambo,13107.10162939012
Product 1,Jan,Lobito,Angola,Benguela,17400.333329754103
Product 1,Jan,Cuito,Angola,Bié,31665.822706456987
Product 1,Jan,Huambo,Angola,Huambo,39274.39983677304
Product 1,Jan,Catumbela,Angola,Benguela,16495.5412138905
Product 1,Jan,Catabola,Angola,Bié,19323.655194697327
Product 1,Jan,Camacupa,Angola,Bié,10791.442706484782
Product 1,Jan,Caluquembe,Angola,Huíla,15629.800496528334
Product 1,Jan,Caála,Angola,Huambo,10990.75757074635
Product 1,Jan,Benguela,Angola,Benguela,31771.99990688605
Product 1,Jan,Zárate,Argentina,Buenos Aires,29983.33412632557
Product 1,Jan,Villa Ocampo,Argentina,Santa Fe,24714.41085757423
Product 1,Jan,Villa Lugano,Argentina,Buenos Aires F.D.,40809.955204597965
Product 1,Jan,Villaguay,Argentina,Entre Rios,49886.65779022505
Product 1,Jan,Villa Gesell,Argentina,Buenos Aires,12166.267369818914
Product 1,Jan,Tigre,Argentina,Buenos Aires,18694.056094355743
Product 1,Jan,Tandil,Argentina,Buenos Aires,21362.57113972954
Product 1,Jan,San Vicente,Argentina,Misiones,20752.173392811874
Product 1,Jan,Santo Tomé,Argentina,Corrientes,32643.875668903376
Product 1,Jan,Santa Elena,Argentina,Entre Rios,11086.181653065825
Product 1,Jan,San Pedro,Argentina,Misiones,37722.60289815117
Product 1,Jan,San Luis del Palmar,Argentina,Corrientes,22158.50215908791
Product 1,Jan,San Lorenzo,Argentina,Corrientes,14506.857417064874
Product 1,Jan,San Javier,Argentina,Santa Fe,16177.257980877977
Product 1,Jan,San Isidro,Argentina,Buenos Aires,20614.136467832723
Product 1,Jan,Saladas,Argentina,Corrientes,15406.99982272157
Product 1,Jan,Retiro,Argentina,Buenos Aires F.D.,49399.29063821201
Product 1,Jan,Resistencia,Argentina,Chaco,26046.726350808036
Product 1,Jan,Reconquista,Argentina,Santa Fe,39207.38363321026
Product 1,Jan,Quilmes,Argentina,Buenos Aires,46362.8784367059
Product 1,Jan,Puerto Rico,Argentina,Misiones,27924.10731871711
Product 1,Jan,Puerto Iguazú,Argentina,Misiones,46405.8810906059
Product 1,Jan,Puerto Esperanza,Argentina,Misiones,25890.131249609192
Product 1,Jan,Puerto Eldorado,Argentina,Misiones,29732.904377214683
Product 1,Jan,Posadas,Argentina,Misiones,44387.48944476247
Product 1,Jan,Pontevedra,Argentina,Buenos Aires,28088.393965610016
Product 1,Jan,Pirané,Argentina,Formosa,14545.920037596068
Product 1,Jan,Paso de los Libres,Argentina,Corrientes,33874.006628207906
Product 1,Jan,Oberá,Argentina,Misiones,45791.53262477788
Product 1,Jan,Necochea,Argentina,Buenos Aires,41692.76484694486
Product 1,Jan,Morón,Argentina,Buenos Aires,17978.104176436434
Product 1,Jan,Monte Caseros,Argentina,Corrientes,36200.4732186881
Product 1,Jan,Montecarlo,Argentina,Misiones,17071.79949154144
Product 1,Jan,Mercedes,Argentina,Buenos Aires,39383.298613401246
Product 1,Jan,Mercedes,Argentina,Corrientes,18883.275460254154
Product 1,Jan,Mar del Plata,Argentina,Buenos Aires,37499.91496265735
Product 1,Jan,Luján,Argentina,Buenos Aires,20478.47139785118
Product 1,Jan,La Plata,Argentina,Buenos Aires,21990.078870285553
Product 1,Jan,La Paz,Argentina,Entre Rios,17640.072264783812
Product 1,Jan,Jardín América,Argentina,Misiones,16770.554621329233
Product 1,Jan,Gualeguaychú,Argentina,Entre Rios,37891.58171610469
Product 1,Jan,Gualeguay,Argentina,Entre Rios,40688.10573737437
Product 1,Jan,Goya,Argentina,Corrientes,32160.813806350878
Product 1,Jan,Gobernador Ingeniero Valentín Virasoro,Argentina,Corrientes,45862.36899476173
Product 1,Jan,General José de San Martín,Argentina,Chaco,24676.976381724984
Product 1,Jan,Garupá,Argentina,Misiones,24070.343406332293
Product 1,Jan,Formosa,Argentina,Formosa,34752.40769823813
Product 1,Jan,Fontana,Argentina,Chaco,29740.40143277806
Product 1,Jan,Federal,Argentina,Entre Rios,26218.688771449408
Product 1,Jan,Esquina,Argentina,Corrientes,14645.773601514014
Product 1,Jan,El Soberbio,Argentina,Misiones,28340.56022511338
Product 1,Jan,Dolores,Argentina,Buenos Aires,21777.24879512753
Product 1,Jan,Curuzú Cuatiá,Argentina,Corrientes,48571.404836824644
Product 1,Jan,Corrientes,Argentina,Corrientes,29201.6878793215
Product 1,Jan,Concordia,Argentina,Entre Rios,26135.644434507813
Product 1,Jan,Concepción del Uruguay,Argentina,Entre Rios,13474.236276206844
Product 1,Jan,Colegiales,Argentina,Buenos Aires F.D.,33457.50994398054
Product 1,Jan,Chajarí,Argentina,Entre Rios,22517.14326645541
Product 1,Jan,Campana,Argentina,Buenos Aires,11985.318298950097
Product 1,Jan,Buenos Aires,Argentina,Buenos Aires F.D.,39089.493967281145
Product 1,Jan,Barranqueras,Argentina,Chaco,26393.16913497094
Product 1,Jan,Azul,Argentina,Buenos Aires,31040.36482998853
Product 1,Jan,Avellaneda,Argentina,Santa Fe,16106.991893658334
Product 1,Jan,Aristóbulo del Valle,Argentina,Misiones,29416.126703184862
Product 1,Jan,Zapala,Argentina,Neuquen,18928.537993110356
Product 1,Jan,Yerba Buena,Argentina,Tucumán,33559.87372026395
Product 1,Jan,Villa Regina,Argentina,Rio Negro,37079.49314364282
Product 1,Jan,Villa Paula de Sarmiento,Argentina,San Juan,41237.357597476686
Product 1,Jan,Villa Nueva,Argentina,Cordoba,37982.695772328385
Product 1,Jan,Villa María,Argentina,Cordoba,46816.06294548912
Product 1,Jan,Villa Dolores,Argentina,Cordoba,30949.312798079554
Product 1,Jan,Villa Constitución,Argentina,Santa Fe,48503.0347422259
Product 1,Jan,Villa Carlos Paz,Argentina,Cordoba,36881.47901639768
Product 1,Jan,Villa Ángela,Argentina,Chaco,41467.067181715334
Product 1,Jan,Villa Allende,Argentina,Cordoba,33876.43533160858
Product 1,Jan,Viedma,Argentina,Rio Negro,35024.56110153773
Product 1,Jan,Victoria,Argentina,Entre Rios,42265.88583409668
Product 1,Jan,Vera,Argentina,Santa Fe,19350.929018471834
Product 1,Jan,Venado Tuerto,Argentina,Santa Fe,18517.600565641165
Product 1,Jan,Veinticinco de Mayo,Argentina,Buenos Aires,40116.40214539018
Product 1,Jan,Ushuaia,Argentina,Tierra del Fuego,16761.800713674467
Product 1,Jan,Unquillo,Argentina,Cordoba,22175.653417107882
Product 1,Jan,Tres Isletas,Argentina,Chaco,34127.22299838486
Product 1,Jan,Tres Arroyos,Argentina,Buenos Aires,27612.860922116703
Product 1,Jan,Trelew,Argentina,Chubut,37219.55316571556
Product 1,Jan,Termas de Río Hondo,Argentina,Santiago del Estero,25485.61993229406
Product 1,Jan,Tartagal,Argentina,Salta,17945.46839075774
Product 1,Jan,Tafí Viejo,Argentina,Tucumán,42269.763865035435
Product 1,Jan,Sunchales,Argentina,Santa Fe,12715.984171629832
Product 1,Jan,Santo Tomé,Argentina,Santa Fe,43120.262901108435
Product 1,Jan,Santiago del Estero,Argentina,Santiago del Estero,40816.51261494894
Product 1,Jan,Santa Rosa,Argentina,La Pampa,48010.73552280813
Product 1,Jan,Santa Lucía,Argentina,San Juan,29385.813148464105
Product 1,Jan,Santa Fe de la Vera Cruz,Argentina,Santa Fe,49870.526925915976
Product 1,Jan,San Salvador de Jujuy,Argentina,Jujuy,38736.461606179546
Product 1,Jan,San Ramón de la Nueva Orán,Argentina,Salta,47373.7947603859
Product 1,Jan,San Rafael,Argentina,Mendoza,27778.71259480592
Product 1,Jan,San Pedro,Argentina,Jujuy,13558.038055327987
Product 1,Jan,San Nicolás de los Arroyos,Argentina,Buenos Aires,29507.15179005286
Product 1,Jan,San Miguel de Tucumán,Argentina,Tucumán,24187.05027816343
Product 1,Jan,San Martín de los Andes,Argentina,Neuquen,39396.603732766845
Product 1,Jan,San Martín,Argentina,Mendoza,43965.74232658923
Product 1,Jan,San Luis,Argentina,San Luis,33336.79293764222
Product 1,Jan,San Justo,Argentina,Santa Fe,13590.263506274596
Product 1,Jan,San Juan,Argentina,San Juan,41938.17984952497
Product 1,Jan,San José de Jáchal,Argentina,San Juan,40407.88626917152
Product 1,Jan,San Jorge,Argentina,Santa Fe,40334.69545804398
Product 1,Jan,San Francisco,Argentina,Cordoba,47598.95827378749
Product 1,Jan,San Fernando del Valle de Catamarca,Argentina,Catamarca,27354.38228863246
Product 1,Jan,San Antonio Oeste,Argentina,Rio Negro,17585.831665823327
Product 1,Jan,Salta,Argentina,Salta,44245.64559436231
Product 1,Jan,Rufino,Argentina,Santa Fe,42169.728892509054
Product 1,Jan,Rosario,Argentina,Santa Fe,22435.05304833408
Product 1,Jan,Río Tercero,Argentina,Cordoba,47614.90672175069
Product 1,Jan,Río Segundo,Argentina,Cordoba,49722.94249490888
Product 1,Jan,Río Gallegos,Argentina,Santa Cruz,42365.45186241128
Product 1,Jan,Río Cuarto,Argentina,Cordoba,30253.01289229802
Product 1,Jan,Río Ceballos,Argentina,Cordoba,42513.04065610639
Product 1,Jan,Rawson,Argentina,Chubut,41094.071371849735
Product 1,Jan,Rafaela,Argentina,Santa Fe,49384.161846594434
Product 1,Jan,Quitilipi,Argentina,Chaco,27186.647030539647
Product 1,Jan,Punta Alta,Argentina,Buenos Aires,49030.83571200205
Product 1,Jan,Puerto Madryn,Argentina,Chubut,14407.245713675322
Product 1,Jan,Presidencia Roque Sáenz Peña,Argentina,Chaco,16232.132887021642
Product 1,Jan,Pocito,Argentina,San Juan,36882.07445496573
Product 1,Jan,Plottier,Argentina,Neuquen,18211.758358065166
Product 1,Jan,Pergamino,Argentina,Buenos Aires,32402.787036276804
Product 1,Jan,Pérez,Argentina,Santa Fe,42263.22029175522
Product 1,Jan,Paraná,Argentina,Entre Rios,32263.03254192108
Product 1,Jan,Palpalá,Argentina,Jujuy,44014.68214888379
Product 1,Jan,Olavarría,Argentina,Buenos Aires,32645.66290911187
Product 1,Jan,Nueve de Julio,Argentina,Buenos Aires,44580.11660906573
Product 1,Jan,Neuquén,Argentina,Neuquen,48348.26535793446
Product 1,Jan,Morteros,Argentina,Cordoba,46252.5465858282
Product 1,Jan,Monteros,Argentina,Tucumán,30052.47262775823
Product 1,Jan,Mendoza,Argentina,Mendoza,33044.86726213353
Product 1,Jan,Marcos Juárez,Argentina,Cordoba,45750.96522691035
Product 1,Jan,Machagai,Argentina,Chaco,43134.70846317308
Product 1,Jan,Lincoln,Argentina,Buenos Aires,19522.98006261308
Product 1,Jan,Libertador General San Martín,Argentina,Jujuy,32627.47453705897
Product 1,Jan,Las Breñas,Argentina,Chaco,23016.190519309435
Product 1,Jan,La Rioja,Argentina,La Rioja,36146.07608114614
Product 1,Jan,La Falda,Argentina,Cordoba,34715.43627844012
Product 1,Jan,La Calera,Argentina,Cordoba,16888.38501928182
Product 1,Jan,Laboulaye,Argentina,Cordoba,26371.323530763995
Product 1,Jan,Junín,Argentina,Buenos Aires,16023.602353785753
Product 1,Jan,Joaquín V. González,Argentina,Salta,19708.979034525313
Product 1,Jan,Jesús María,Argentina,Cordoba,38129.48882590935
Product 1,Jan,Granadero Baigorria,Argentina,Santa Fe,11133.81186357329
Product 1,Jan,Gobernador Gálvez,Argentina,Santa Fe,27340.292298324275
Product 1,Jan,General Roca,Argentina,Rio Negro,15873.967406047792
Product 1,Jan,General Pinedo,Argentina,Chaco,34183.721048098756
Product 1,Jan,General Pico,Argentina,La Pampa,21782.664835535685
Product 1,Jan,General Enrique Mosconi,Argentina,Salta,32185.563399106813
Product 1,Jan,Gálvez,Argentina,Santa Fe,25090.428009602343
Product 1,Jan,Firmat,Argentina,Santa Fe,40582.309103667576
Product 1,Jan,Famaillá,Argentina,Tucumán,30410.02446781932
Product 1,Jan,Esquel,Argentina,Chubut,19533.698502522253
Product 1,Jan,Esperanza,Argentina,Santa Fe,38184.65247983648
Product 1,Jan,Embarcación,Argentina,Salta,12817.644328897462
Product 1,Jan,Embalse,Argentina,Cordoba,49131.00055100552
Product 1,Jan,El Bolsón,Argentina,Rio Negro,45607.886279769395
Product 1,Jan,Diamante,Argentina,Entre Rios,40996.584190498936
Product 1,Jan,Deán Funes,Argentina,Cordoba,13119.306300824726
Product 1,Jan,Cutral-Có,Argentina,Neuquen,24940.313782959347
Product 1,Jan,Cruz del Eje,Argentina,Cordoba,28562.293410979488
Product 1,Jan,Crespo,Argentina,Entre Rios,14685.569001294141
Product 1,Jan,Cosquín,Argentina,Cordoba,38408.36625535281
Product 1,Jan,Coronel Suárez,Argentina,Buenos Aires,43117.62445418171
Product 1,Jan,Coronda,Argentina,Santa Fe,38529.49404836932
Product 1,Jan,Córdoba,Argentina,Cordoba,39942.09122609571
Product 1,Jan,Comodoro Rivadavia,Argentina,Chubut,18787.833828639203
Product 1,Jan,Cipolletti,Argentina,Rio Negro,18536.347320692395
Product 1,Jan,Cinco Saltos,Argentina,Rio Negro,33669.893083804665
Product 1,Jan,Chivilcoy,Argentina,Buenos Aires,31849.144262735197
Product 1,Jan,Chimbas,Argentina,San Juan,13915.625156282384
Product 1,Jan,Chilecito,Argentina,La Rioja,23463.561237112714
Product 1,Jan,Charata,Argentina,Chaco,18772.60683065507
Product 1,Jan,Chacabuco,Argentina,Buenos Aires,49846.44368992091
Product 1,Jan,Centenario,Argentina,Neuquen,23950.311703751722
Product 1,Jan,Caucete,Argentina,San Juan,33777.67208592013
Product 1,Jan,Catriel,Argentina,Rio Negro,44726.55377408303
Product 1,Jan,Castelli,Argentina,Chaco,41809.812005895415
Product 1,Jan,Casilda,Argentina,Santa Fe,10197.278654220057
Product 1,Jan,Carcarañá,Argentina,Santa Fe,40853.707431360075
Product 1,Jan,Capitán Bermúdez,Argentina,Santa Fe,45378.58882064817
Product 1,Jan,Cañada de Gómez,Argentina,Santa Fe,40302.39867124219
Product 1,Jan,Caleta Olivia,Argentina,Santa Cruz,11317.343028421777
Product 1,Jan,Bell Ville,Argentina,Cordoba,36974.12318676055
Product 1,Jan,Bella Vista,Argentina,Tucumán,41968.35356378995
Product 1,Jan,Bahía Blanca,Argentina,Buenos Aires,26120.1060622429
Product 1,Jan,Arroyo Seco,Argentina,Santa Fe,17627.394495118417
Product 1,Jan,Arroyito,Argentina,Cordoba,11996.651971821715
Product 1,Jan,Añatuya,Argentina,Santiago del Estero,13262.580748427366
Product 1,Jan,Alta Gracia,Argentina,Cordoba,23539.99041721165
Product 1,Jan,Allen,Argentina,Rio Negro,14069.585032839695
Product 1,Jan,Alderetes,Argentina,Tucumán,45620.81401743928
Product 1,Jan,Albardón,Argentina,San Juan,25617.121231372275
Product 1,Jan,Aguilares,Argentina,Tucumán,46733.686408091286
Product 1,Jan,Villa Santa Rita,Argentina,Buenos Aires F.D.,42257.55814827104
Product 1,Jan,Villa Mercedes,Argentina,San Luis,38632.281800402954
Product 1,Jan,San Carlos de Bariloche,Argentina,Rio Negro,39286.350265214125
Product 1,Jan,Adrogué,Argentina,Buenos Aires,24646.075550735834
Product 1,Jan,Pago Pago,American Samoa,Eastern District,32598.00466888813
Product 1,Jan,Wolfsberg,Austria,Carinthia,25538.106855776226
Product 1,Jan,Wiener Neustadt,Austria,Lower Austria,38728.96594806525
Product 1,Jan,Vienna,Austria,Vienna,47196.10497576069
Product 1,Jan,Wels,Austria,Upper Austria,20269.150683498545
Product 1,Jan,Weinzierl bei Krems,Austria,Lower Austria,13272.951834960684
Product 1,Jan,Villach,Austria,Carinthia,36718.515806803596
Product 1,Jan,Traun,Austria,Upper Austria,12180.4640516479
Product 1,Jan,Traiskirchen,Austria,Lower Austria,41800.06248813243
Product 1,Jan,Ternitz,Austria,Lower Austria,35706.357867287894
Product 1,Jan,Steyr,Austria,Upper Austria,41217.76549304001
Product 1,Jan,Spittal an der Drau,Austria,Carinthia,44997.83866795063
Product 1,Jan,Schwechat,Austria,Lower Austria,44623.34144772064
Product 1,Jan,Sankt Pölten,Austria,Lower Austria,22280.60457819607
Product 1,Jan,Salzburg,Austria,Salzburg,20052.136462698105
Product 1,Jan,Saalfelden am Steinernen Meer,Austria,Salzburg,39956.234315125104
Product 1,Jan,Mödling,Austria,Lower Austria,23713.978059929817
Product 1,Jan,Lustenau,Austria,Vorarlberg,47535.82651793898
Product 1,Jan,Linz,Austria,Upper Austria,34319.505709766774
Product 1,Jan,Leonding,Austria,Upper Austria,23161.09487929191
Product 1,Jan,Leoben,Austria,Styria,44943.04758114054
Product 1,Jan,Kufstein,Austria,Tyrol,16417.282294894503
Product 1,Jan,Krems an der Donau,Austria,Lower Austria,15316.852799371183
Product 1,Jan,Klosterneuburg,Austria,Lower Austria,19011.780126674945
Product 1,Jan,Klagenfurt am Wörthersee,Austria,Carinthia,41258.567276104455
Product 1,Jan,Kapfenberg,Austria,Styria,29713.38777272192
Product 1,Jan,Innsbruck,Austria,Tyrol,18877.284583707493
Product 1,Jan,Hallein,Austria,Salzburg,11646.753270031666
Product 1,Jan,Graz,Austria,Styria,29450.035819860084
Product 1,Jan,Feldkirch,Austria,Vorarlberg,10664.598586807842
Product 1,Jan,Dornbirn,Austria,Vorarlberg,37546.73873788547
Product 1,Jan,Bregenz,Austria,Vorarlberg,15500.533750156188
Product 1,Jan,Braunau am Inn,Austria,Upper Austria,21520.8368491795
Product 1,Jan,Baden,Austria,Lower Austria,26887.20393803858
Product 1,Jan,Amstetten,Austria,Lower Austria,34117.467588061336
Product 1,Jan,Ansfelden,Austria,Salzburg,35715.0058363281
Product 1,Jan,Whyalla,Australia,South Australia,44466.31876709118
Product 1,Jan,Rockingham,Australia,Western Australia,34742.0709868541
Product 1,Jan,Prospect,Australia,South Australia,13940.30252566738
Product 1,Jan,Port Hedland,Australia,Western Australia,27466.101365462484
Product 1,Jan,Perth,Australia,Western Australia,24156.924135972036
Product 1,Jan,Murray Bridge,Australia,South Australia,34903.23518335749
Product 1,Jan,Mount Isa,Australia,Queensland,13567.542699769667
Product 1,Jan,Morphett Vale,Australia,South Australia,47363.30205579514
Product 1,Jan,Mandurah,Australia,Western Australia,19084.364758926764
Product 1,Jan,Kwinana,Australia,Western Australia,18508.929794963624
Product 1,Jan,Kalgoorlie,Australia,Western Australia,30249.416699664718
Product 1,Jan,Gosnells,Australia,Western Australia,11530.019013987092
Product 1,Jan,Geraldton,Australia,Western Australia,20851.775486589377
Product 1,Jan,Gawler,Australia,South Australia,45768.20220386759
Product 1,Jan,Fremantle,Australia,Western Australia,21603.399311293004
Product 1,Jan,Darwin,Australia,Northern Territory,45136.55910967295
Product 1,Jan,Busselton,Australia,Western Australia,41429.28952580178
Product 1,Jan,Bunbury,Australia,Western Australia,11772.963355095368
Product 1,Jan,Armadale,Australia,Western Australia,21583.065903257513
Product 1,Jan,Alice Springs,Australia,Northern Territory,20773.915741755867
Product 1,Jan,Albany,Australia,Western Australia,17725.387962279947
Product 1,Jan,Adelaide,Australia,South Australia,28231.618310848087
Product 1,Jan,Woodridge,Australia,Queensland,32147.950037972467
Product 1,Jan,Wodonga,Australia,Victoria,32312.062452417
Product 1,Jan,Werribee,Australia,Victoria,43487.87440367178
Product 1,Jan,Warrnambool,Australia,Victoria,48923.299034473195
